item_no,price,rating,title
220789,49.95,4.5,Hydro Flask Wide-Mouth Vacuum Water Bottle with Flex Straw Cap - 32 fl. oz.
218233,179.00,4.3,MYSTERY RANCH Coulee 20 Pack - Men's
123344,300.00,4.6,YETI Hopper Flip 18 Soft Cooler
182723,13.95,4.6,PEAK REFUEL Chicken Pesto Pasta - 2 Servings
220646,135.00,4.9,Camp Chef Pro 30 Deluxe Camp Stove
228256,55.00,0.0,Stanley IceFlow AeroLight Vacuum Water Bottle with Fast Flow Lid - 50 fl. oz.
649902,48.93,4.6,MSR Titan Kettle
129571,13.95,4.4,Chukar Cherries Dark Chocolate Classic Cherries
220437,35.00,4.6,Stanley Quencher H2.0 FlowState Tumbler - 30 fl. oz.
204832,2.95,4.5,Snow Peak GigaPower Butane Fuel Canister - 250 g
171318,22.00,4.4,CamelBak Reservoir Cleaning Kit
874212,450.00,4.8,YETI Tundra 75 Cooler
175887,10.25,3.8,Mountain House Creamy Macaroni &amp; Cheese - 2 Servings
220563,9.95,4.2,Sea to Summit Dry Bag Sling
889968,51.93,4.9,Sea to Summit X-Set 11 Cookset
233758,49.73,0.0,Tifosi Aethon Sunglasses
123404,29.95,4.1,GSI Outdoors Glacier Camp Stove
200290,359.00,4.7,Marmot Limelight 3P Tent with Footprint
127086,35.00,4.7,YETI Rambler Tumbler with MagSlider Lid - 20 fl. oz.
233424,149.73,0.0,NEMO Victory Sunshade
109906,14.95,4.4,Aquatabs Water Purification Tablets - Package of 30
227924,149.95,0.0,Snow Peak Pack &amp; Carry S Fireplace
889970,40.93,4.5,Sea to Summit X-Pot - 1.4 Liters
205410,159.95,4.2,Snow Peak Takibi Floga Fire Pit Attachment
200713,359.00,4.3,Suunto 9 Peak Titanium
225357,99.95,3.5,JBL Endurance Peak 3 Earbuds
234443,154.73,4.8,Rumpl Original Puffy Changing Poncho
172595,"1,250.00",4.5,Dometic CFX3 75 Dual Zone Powered Cooler
721999,14.95,4.6,MSR SuperFuel - Quart
206474,2.50,4.3,GU Energy Chews
758051,29.95,4.1,Sea to Summit Kitchen Sink - 20 Liters
207806,23.73,5.0,Hydro Flask Wide-Mouth Vacuum Water Bottle - 20 fl. oz.
871125,39.95,4.2,Petzl Spatha Knife
230602,27.73,0.0,Sea to Summit Mesh Stuff Sack - Set of 3
220436,30.00,4.5,Stanley Quencher H2.0 FlowState Tumbler - 20 fl. oz.
232896,19.73,0.0,Hydro Flask Coffee Cup with Flex Sip Lid - 16 fl. oz.
832504,25.95,3.7,Gerber Dime Keychain Multi-tool
709004,54.95,3.2,MSR Standard Fuel Pump
207809,30.73,5.0,Hydro Flask Wide-Mouth Vacuum Water Bottle with Flex Cap - 40 fl. oz.
129701,44.95,4.7,Snow Peak Wabuki Chopsticks
